Nathan,Walker,7.2.1994
Michael,Grabner,5.10.1987
Konstantin,Komarek,8.11.1992
Benjamin,Nissner,30.11.1997
Michael,Raffl,1.12.1988
Marco,Rossi,23.9.2001
Alexander,Andriyevsky,10.8.1968
Artyom,Anosov,24.9.1999
Dmitri,Baskov,25.8.1978
Andrei,Belevich,27.8.1997
Daniil,Bokun,24.7.1996
Dmitry,Buinitsky,1.3.1997
Pavel,Chernov,30.1.1990
Evgeny,Dadonov,7.8.1992
Artyom,Demkov,26.9.1989
Pavel,Denisov,17.5.2001
Dmitri,Deryabin,20.10.1999
Roman,Dostanko,3.5.1994
Ivan,Drozdov,15.11.1999
Roman,Dyukov,29.9.1995
Stepan,Falkovsky,18.12.1996
Nikita,Feoktistov,23.6.1990
Kirill,Gotovets,25.6.1991
Mikhail,Grabovski,31.1.1984
Vyacheslav,Gretsky,23.12.1996
Mikhail,Karnaukhov,22.2.1994
Kristian,Khenkel,7.11.1995
Alexander,Kitarov,18.6.1987
Vladislav,Kodola,30.10.1996
Nikita,Komarov,28.6.1988
Vladimir,Kopat,23.4.1971
Dmitry,Korobov,12.3.1989
Andrei,Kostitsyn,3.2.1985
Sergei,Kostitsyn,20.3.1987
Boris,Labkovich,1.1.1975
Yevgeni,Lisovets,12.11.1994
Alexander,Malyavko,28.9.1990
Sergei,Malyavko,28.9.1990
Igor,Martynov,19.1.1999
Igor,Matushkin,27.1.1965
Andrey,Mezin,8.7.1974
Alexander,Mikulchik,28.12.1965
Alexander,Osipkov,28.1.1997
Alexander,Pavlovich,7.12.1988
Yegor,Sharangovich,6.6.1998
Ilya,Shinkevich,1.9.1989
Andrei,Skabelka,20.1.1971
Andrei,Stas,18.10.1988
Nikolai,Stasenko,15.2.1987
Mikhail,Stefanovich,27.11.1989
Maxim,Sushko,10.2.1999
Nikita,Ustinenko,22.4.1995
Pavel,Vorobey,10.9.1997
Vladislav,Yeryomenko,24.4.1999
Oleg,Yevenko,21.1.1991
Dmitri,Zhelnerovsky,18.2.1994
Dmitry,Znakharenko,4.8.1993
Senna,Peeters,14.6.2002
Mike,Abbamont,1.1.1965
Peter,Abbandonato,25.3.1998
Chris,Abbott,24.10.1983
Scott,Abbott,1.2.1950
Spencer,Abbott,30.4.1988
Bill,Abercrombie,1.2.1959
Matthew,Abt,25.7.1993
Olivier,Adam,20.5.2002
B.J.,Adams,7.5.1976
Morgan,Adams-Moisan,6.2.1997
Nick,Addey-Jibb,1.2.1976
Calen,Addison,11.4.2000
Gary,Agnew,24.5.1960
Daniel,Agostino,17.6.2003
Andrew,Agozzino,5.1.1991
Steve,Ahern,23.2.1972
Alexandre,Alain,3.3.1997
Colin,Alexander,1.2.1963
David,Alexander,1.2.1900
Gage,Alexander,2.7.2002
Jacson,Alexander,1.2.2001
Benoît,Allaire,24.4.1964
Blake,Allan,21.4.2001
Frédéric,Allard,27.12.1997
Jake,Allen,7.8.1990
Rocky,Allen,1.2.1900
Ben,Allison,21.8.2002
Justin,Almeida,6.2.1999
